scene,year,date,crop,filename,frame_id,camera_type,view_type,nadir_or_oblique,view_verticality_score,width,height,corresponding_depth_filename,intrinsics_available,extrinsics_available,camera_model,local_rgb_path,local_depth_path,source_rgb,source_depth,source_revision
2025/Day001_Wheat,2025,Day001,wheat,1.JPG,1,DJI Mavic 3M RGB camera,nadir,nadir,0.9999870190847487,5280,3956,1_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\1.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\1_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/1.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/1_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,43.JPG,43,DJI Mavic 3M RGB camera,nadir,nadir,0.9999036072131963,5280,3956,43_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\43.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\43_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/43.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/43_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,85.JPG,85,DJI Mavic 3M RGB camera,nadir,nadir,0.9999854698430397,5280,3956,85_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\85.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\85_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/85.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/85_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,127.JPG,127,DJI Mavic 3M RGB camera,nadir,nadir,0.9999789990409258,5280,3956,127_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\127.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\127_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/127.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/127_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,169.JPG,169,DJI Mavic 3M RGB camera,nadir,nadir,0.9999973586936671,5280,3956,169_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\169.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\169_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/169.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/169_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,447.JPG,447,DJI Mavic 3M RGB camera,nadir,nadir,0.9999759613078372,5280,3956,447_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\447.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\447_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/447.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/447_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,489.JPG,489,DJI Mavic 3M RGB camera,nadir,nadir,0.9999822511335054,5280,3956,489_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\489.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\489_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/489.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/489_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,531.JPG,531,DJI Mavic 3M RGB camera,nadir,nadir,0.9999865708201892,5280,3956,531_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\531.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\531_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/531.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/531_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,573.JPG,573,DJI Mavic 3M RGB camera,nadir,nadir,0.9999792549862315,5280,3956,573_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\573.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\573_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/573.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/573_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,616.JPG,616,DJI Mavic 3M RGB camera,nadir,nadir,0.9999911307561199,5280,3956,616_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\616.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\616_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/616.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/616_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,182.JPG,182,DJI Mavic 3M RGB camera,oblique,oblique,0.7033511780111273,5280,3956,182_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\182.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\182_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/182.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/182_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,240.JPG,240,DJI Mavic 3M RGB camera,oblique,oblique,0.7075718208125407,5280,3956,240_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\240.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\240_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/240.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/240_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,298.JPG,298,DJI Mavic 3M RGB camera,oblique,oblique,0.7061234622354156,5280,3956,298_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\298.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\298_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/298.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/298_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,357.JPG,357,DJI Mavic 3M RGB camera,oblique,oblique,0.704063446389367,5280,3956,357_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\357.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\357_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/357.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/357_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,415.JPG,415,DJI Mavic 3M RGB camera,oblique,oblique,0.7052316183673132,5280,3956,415_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\415.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\415_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/415.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/415_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,674.JPG,674,DJI Mavic 3M RGB camera,oblique,oblique,0.7082393071015787,5280,3956,674_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\674.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\674_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/674.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/674_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,732.JPG,732,DJI Mavic 3M RGB camera,oblique,oblique,0.7073450723867275,5280,3956,732_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\732.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\732_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/732.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/732_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,791.JPG,791,DJI Mavic 3M RGB camera,oblique,oblique,0.7057398871009861,5280,3956,791_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\791.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\791_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/791.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/791_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,849.JPG,849,DJI Mavic 3M RGB camera,oblique,oblique,0.7076058666729741,5280,3956,849_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\849.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\849_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/849.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/849_depth.tif,main
2025/Day001_Wheat,2025,Day001,wheat,908.JPG,908,DJI Mavic 3M RGB camera,oblique,oblique,0.7081770834942197,5280,3956,908_depth.tif,True,True,OPENCV,data\uav3dcrop\2025\Day001_Wheat\images\908.JPG,data\uav3dcrop_depth\2025\Day001_Wheat\908_depth.tif,https://huggingface.co/datasets/Link-Dev/UAV3DCrop/blob/main/2025/Day001_Wheat/images/908.JPG,https://huggingface.co/datasets/Link-Dev/UAV3DCrop_depth/blob/main/2025/Day001_Wheat_depth/908_depth.tif,main
